"Código","Unidade Territorial","UF","Referência","Famílias","* Recursos transferidos para famílias que não estão em situação de suspensão.","Valor Repassado médio recebido pelas famílias do Auxílio Brasil"
"430003","ACEGUÁ","RS","2021","198","86013,00","434,41"
"430005","ÁGUA SANTA","RS","2021","88","35298,00","401,11"
"430010","AGUDO","RS","2021","893","323233,00","361,96"
"430020","AJURICABA","RS","2021","266","105652,00","397,19"
"430030","ALECRIM","RS","2021","288","78345,00","272,03"
"430040","ALEGRETE","RS","2021","2375","710605,00","299,20"
"430045","ALEGRIA","RS","2021","229","92958,00","405,93"
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2021","41","13997,00","341,39"
"430050","ALPESTRE","RS","2021","236","72032,00","305,22"
"430055","ALTO ALEGRE","RS","2021","77","26985,00","350,45"
"430057","ALTO FELIZ","RS","2021","12","4487,00","373,92"
"430060","ALVORADA","RS","2021","7829","3261608,00","416,61"
"430063","AMARAL FERRADOR","RS","2021","422","164811,00","390,55"
"430064","AMETISTA DO SUL","RS","2021","446","158966,00","356,43"
"430066","ANDRÉ DA ROCHA","RS","2021","47","20604,00","438,38"
"430070","ANTA GORDA","RS","2021","39","14812,00","379,79"
"430080","ANTÔNIO PRADO","RS","2021","233","95897,00","411,58"
"430085","ARAMBARÉ","RS","2021","276","102588,00","371,70"
"430087","ARARICÁ","RS","2021","208","100705,00","484,16"
"430090","ARATIBA","RS","2021","68","27177,00","399,66"
"430100","ARROIO DO MEIO","RS","2021","207","77167,00","372,79"
"430105","ARROIO DO SAL","RS","2021","358","176760,00","493,74"
"430107","ARROIO DO PADRE","RS","2021","45","14478,00","321,73"
"430110","ARROIO DOS RATOS","RS","2021","853","350757,00","411,20"
"430120","ARROIO DO TIGRE","RS","2021","447","188716,00","422,18"
"430130","ARROIO GRANDE","RS","2021","1015","322541,00","317,77"
"430140","ARVOREZINHA","RS","2021","409","162926,00","398,35"
"430150","AUGUSTO PESTANA","RS","2021","143","61392,00","429,31"
"430155","ÁUREA","RS","2021","48","15377,00","320,35"
"430160","BAGÉ","RS","2021","8075","3500604,00","433,51"
"430163","BALNEÁRIO PINHAL","RS","2021","963","498387,00","517,54"
"430165","BARÃO","RS","2021","23","7598,00","330,35"
"430170","BARÃO DE COTEGIPE","RS","2021","106","38521,00","363,41"
"430175","BARÃO DO TRIUNFO","RS","2021","413","145436,00","352,15"
"430180","BARRACÃO","RS","2021","343","116958,00","340,99"
"430185","BARRA DO GUARITA","RS","2021","115","41221,00","358,44"
"430187","BARRA DO QUARAÍ","RS","2021","323","133525,00","413,39"
"430190","BARRA DO RIBEIRO","RS","2021","643","261283,00","406,35"
"430192","BARRA DO RIO AZUL","RS","2021","14","4439,00","317,07"
"430195","BARRA FUNDA","RS","2021","17","5154,00","303,18"
"430200","BARROS CASSAL","RS","2021","484","163746,00","338,32"
"430205","BENJAMIN CONSTANT DO SUL","RS","2021","353","165475,00","468,77"
"430210","BENTO GONÇALVES","RS","2021","1500","585626,00","390,42"
"430215","BOA VISTA DAS MISSÕES","RS","2021","94","37324,00","397,06"
"430220","BOA VISTA DO BURICÁ","RS","2021","76","29253,00","384,91"
"430222","BOA VISTA DO CADEADO","RS","2021","62","25259,00","407,40"
"430223","BOA VISTA DO INCRA","RS","2021","120","53712,00","447,60"
"430225","BOA VISTA DO SUL","RS","2021","7","2692,00","384,57"
"430230","BOM JESUS","RS","2021","992","509090,00","513,20"
"430235","BOM PRINCÍPIO","RS","2021","91","32896,00","361,49"
"430237","BOM PROGRESSO","RS","2021","216","102340,00","473,80"
"430240","BOM RETIRO DO SUL","RS","2021","310","142173,00","458,62"
"430245","BOQUEIRÃO DO LEÃO","RS","2021","358","137347,00","383,65"
"430250","BOSSOROCA","RS","2021","288","73539,00","255,34"
"430258","BOZANO","RS","2021","49","21211,00","432,88"
"430260","BRAGA","RS","2021","294","131741,00","448,10"
"430265","BROCHIER","RS","2021","69","29415,00","426,30"
"430270","BUTIÁ","RS","2021","1571","651756,00","414,87"
"430280","CAÇAPAVA DO SUL","RS","2021","1950","688041,00","352,84"
"430290","CACEQUI","RS","2021","1356","642838,00","474,07"
"430300","CACHOEIRA DO SUL","RS","2021","4595","1916566,00","417,10"
"430310","CACHOEIRINHA","RS","2021","3844","1683774,00","438,03"
"430320","CACIQUE DOBLE","RS","2021","362","144259,00","398,51"
"430330","CAIBATÉ","RS","2021","209","77326,00","369,98"
"430340","CAIÇARA","RS","2021","234","91284,00","390,10"
"430350","CAMAQUÃ","RS","2021","3911","1647829,00","421,33"
"430355","CAMARGO","RS","2021","26","10310,00","396,54"
"430360","CAMBARÁ DO SUL","RS","2021","244","95997,00","393,43"
"430367","CAMPESTRE DA SERRA","RS","2021","69","27050,00","392,03"
"430370","CAMPINA DAS MISSÕES","RS","2021","80","24019,00","300,24"
"430380","CAMPINAS DO SUL","RS","2021","145","51151,00","352,77"
"430390","CAMPO BOM","RS","2021","608","184101,00","302,80"
"430400","CAMPO NOVO","RS","2021","518","164130,00","316,85"
"430410","CAMPOS BORGES","RS","2021","216","91115,00","421,83"
"430420","CANDELÁRIA","RS","2021","1246","439144,00","352,44"
"430430","CÂNDIDO GODÓI","RS","2021","114","37693,00","330,64"
"430435","CANDIOTA","RS","2021","620","259147,00","417,98"
"430440","CANELA","RS","2021","1507","722033,00","479,12"
"430450","CANGUÇU","RS","2021","3371","1056480,00","313,40"
"430460","CANOAS","RS","2021","11137","5097374,00","457,70"
"430461","CANUDOS DO VALE","RS","2021","46","14900,00","323,91"
"430462","CAPÃO BONITO DO SUL","RS","2021","83","30535,00","367,89"
"430463","CAPÃO DA CANOA","RS","2021","1991","874327,00","439,14"
"430465","CAPÃO DO CIPÓ","RS","2021","258","86030,00","333,45"
"430466","CAPÃO DO LEÃO","RS","2021","1973","790489,00","400,65"
"430467","CAPIVARI DO SUL","RS","2021","178","75249,00","422,75"
"430468","CAPELA DE SANTANA","RS","2021","589","282431,00","479,51"
"430469","CAPITÃO","RS","2021","19","6208,00","326,74"
"430470","CARAZINHO","RS","2021","1782","639248,00","358,73"
"430471","CARAÁ","RS","2021","291","132803,00","456,37"
"430480","CARLOS BARBOSA","RS","2021","100","40705,00","407,05"
"430485","CARLOS GOMES","RS","2021","29","8564,00","295,31"
"430490","CASCA","RS","2021","109","47977,00","440,16"
"430495","CASEIROS","RS","2021","127","56552,00","445,29"
"430500","CATUÍPE","RS","2021","366","116415,00","318,07"
"430510","CAXIAS DO SUL","RS","2021","8860","3728073,00","420,78"
"430511","CENTENÁRIO","RS","2021","40","13407,00","335,18"
"430512","CERRITO","RS","2021","360","115743,00","321,51"
"430513","CERRO BRANCO","RS","2021","204","76546,00","375,23"
"430515","CERRO GRANDE","RS","2021","167","70938,00","424,78"
"430517","CERRO GRANDE DO SUL","RS","2021","560","229262,00","409,40"
"430520","CERRO LARGO","RS","2021","249","91929,00","369,19"
"430530","CHAPADA","RS","2021","159","61539,00","387,04"
"430535","CHARQUEADAS","RS","2021","1368","606043,00","443,01"
"430537","CHARRUA","RS","2021","277","136901,00","494,23"
"430540","CHIAPETTA","RS","2021","172","72908,00","423,88"
"430543","CHUÍ","RS","2021","244","83518,00","342,29"
"430544","CHUVISCA","RS","2021","292","100931,00","345,65"
"430545","CIDREIRA","RS","2021","816","386199,00","473,28"
"430550","CIRÍACO","RS","2021","127","47274,00","372,24"
"430558","COLINAS","RS","2021","25","9566,00","382,64"
"430560","COLORADO","RS","2021","70","24458,00","349,40"
"430570","CONDOR","RS","2021","315","116919,00","371,17"
"430580","CONSTANTINA","RS","2021","357","129476,00","362,68"
"430583","COQUEIRO BAIXO","RS","2021","14","4160,00","297,14"
"430585","COQUEIROS DO SUL","RS","2021","61","21411,00","351,00"
"430587","CORONEL BARROS","RS","2021","54","23001,00","425,94"
"430590","CORONEL BICACO","RS","2021","889","413985,00","465,67"
"430593","CORONEL PILAR","RS","2021","7","2353,00","336,14"
"430595","COTIPORÃ","RS","2021","33","13421,00","406,70"
"430597","COXILHA","RS","2021","90","31378,00","348,64"
"430600","CRISSIUMAL","RS","2021","308","104535,00","339,40"
"430605","CRISTAL","RS","2021","401","179348,00","447,25"
"430607","CRISTAL DO SUL","RS","2021","287","91271,00","318,02"
"430610","CRUZ ALTA","RS","2021","1731","600696,00","347,02"
"430613","CRUZALTENSE","RS","2021","35","9287,00","265,34"
"430620","CRUZEIRO DO SUL","RS","2021","278","106654,00","383,65"
"430630","DAVID CANABARRO","RS","2021","49","15072,00","307,59"
"430632","DERRUBADAS","RS","2021","113","35589,00","314,95"
"430635","DEZESSEIS DE NOVEMBRO","RS","2021","308","102655,00","333,30"
"430637","DILERMANDO DE AGUIAR","RS","2021","243","101926,00","419,45"
"430640","DOIS IRMÃOS","RS","2021","222","100237,00","451,52"
"430642","DOIS IRMÃOS DAS MISSÕES","RS","2021","152","64383,00","423,57"
"430645","DOIS LAJEADOS","RS","2021","28","8885,00","317,32"
"430650","DOM FELICIANO","RS","2021","869","314132,00","361,49"
"430655","DOM PEDRO DE ALCÂNTARA","RS","2021","93","35974,00","386,82"
"430660","DOM PEDRITO","RS","2021","2327","880463,00","378,37"
"430670","DONA FRANCISCA","RS","2021","226","92648,00","409,95"
"430673","DOUTOR MAURÍCIO CARDOSO","RS","2021","127","40417,00","318,24"
"430675","DOUTOR RICARDO","RS","2021","27","11645,00","431,30"
"430676","ELDORADO DO SUL","RS","2021","1969","950433,00","482,70"
"430680","ENCANTADO","RS","2021","253","96904,00","383,02"
"430690","ENCRUZILHADA DO SUL","RS","2021","1207","413900,00","342,92"
"430692","ENGENHO VELHO","RS","2021","128","86732,00","677,59"
"430693","ENTRE-IJUÍS","RS","2021","264","85349,00","323,29"
"430695","ENTRE RIOS DO SUL","RS","2021","147","61658,00","419,44"
"430697","EREBANGO","RS","2021","198","75528,00","381,45"
"430700","ERECHIM","RS","2021","1681","622536,00","370,34"
"430705","ERNESTINA","RS","2021","87","33597,00","386,17"
"430710","HERVAL","RS","2021","759","299560,00","394,68"
"430720","ERVAL GRANDE","RS","2021","205","79878,00","389,65"
"430730","ERVAL SECO","RS","2021","430","187767,00","436,67"
"430740","ESMERALDA","RS","2021","160","64190,00","401,19"
"430745","ESPERANÇA DO SUL","RS","2021","122","37816,00","309,97"
"430750","ESPUMOSO","RS","2021","578","201575,00","348,75"
"430755","ESTAÇÃO","RS","2021","133","52357,00","393,66"
"430760","ESTÂNCIA VELHA","RS","2021","893","344168,00","385,41"
"430770","ESTEIO","RS","2021","2719","1287997,00","473,70"
"430780","ESTRELA","RS","2021","441","200975,00","455,73"
"430781","ESTRELA VELHA","RS","2021","122","38844,00","318,39"
"430783","EUGÊNIO DE CASTRO","RS","2021","147","53684,00","365,20"
"430786","FAGUNDES VARELA","RS","2021","6","3544,00","590,67"
"430790","FARROUPILHA","RS","2021","1382","655219,00","474,11"
"430800","FAXINAL DO SOTURNO","RS","2021","321","126766,00","394,91"
"430805","FAXINALZINHO","RS","2021","161","64430,00","400,19"
"430807","FAZENDA VILANOVA","RS","2021","116","53460,00","460,86"
"430810","FELIZ","RS","2021","103","44323,00","430,32"
"430820","FLORES DA CUNHA","RS","2021","278","126075,00","453,51"
"430825","FLORIANO PEIXOTO","RS","2021","44","14428,00","327,91"
"430830","FONTOURA XAVIER","RS","2021","919","334626,00","364,12"
"430840","FORMIGUEIRO","RS","2021","508","211802,00","416,93"
"430843","FORQUETINHA","RS","2021","38","14664,00","385,89"
"430845","FORTALEZA DOS VALOS","RS","2021","159","61394,00","386,13"
"430850","FREDERICO WESTPHALEN","RS","2021","746","274035,00","367,34"
"430860","GARIBALDI","RS","2021","181","74124,00","409,52"
"430865","GARRUCHOS","RS","2021","213","73713,00","346,07"
"430870","GAURAMA","RS","2021","108","37005,00","342,64"
"430880","GENERAL CÂMARA","RS","2021","563","229180,00","407,07"
"430885","GENTIL","RS","2021","52","31395,00","603,75"
"430890","GETÚLIO VARGAS","RS","2021","201","66569,00","331,19"
"430900","GIRUÁ","RS","2021","1250","556788,00","445,43"
"430905","GLORINHA","RS","2021","240","100569,00","419,04"
"430910","GRAMADO","RS","2021","666","291988,00","438,42"
"430912","GRAMADO DOS LOUREIROS","RS","2021","217","96947,00","446,76"
"430915","GRAMADO XAVIER","RS","2021","200","72727,00","363,64"
"430920","GRAVATAÍ","RS","2021","10936","4951968,00","452,81"
"430925","GUABIJU","RS","2021","19","8776,00","461,89"
"430930","GUAÍBA","RS","2021","3331","1364837,00","409,74"
"430940","GUAPORÉ","RS","2021","270","108761,00","402,82"
"430950","GUARANI DAS MISSÕES","RS","2021","328","101490,00","309,42"
"430955","HARMONIA","RS","2021","38","13872,00","365,05"
"430957","HERVEIRAS","RS","2021","111","50891,00","458,48"
"430960","HORIZONTINA","RS","2021","400","148981,00","372,45"
"430965","HULHA NEGRA","RS","2021","783","391739,00","500,31"
"430970","HUMAITÁ","RS","2021","95","36811,00","387,48"
"430975","IBARAMA","RS","2021","247","85917,00","347,84"
"430980","IBIAÇÁ","RS","2021","106","41589,00","392,35"
"430990","IBIRAIARAS","RS","2021","200","88879,00","444,40"
"430995","IBIRAPUITÃ","RS","2021","249","117142,00","470,45"
"431000","IBIRUBÁ","RS","2021","154","44651,00","289,94"
"431010","IGREJINHA","RS","2021","527","218303,00","414,24"
"431020","IJUÍ","RS","2021","2216","808701,00","364,94"
"431030","ILÓPOLIS","RS","2021","66","23171,00","351,08"
"431033","IMBÉ","RS","2021","905","365786,00","404,18"
"431036","IMIGRANTE","RS","2021","19","7610,00","400,53"
"431040","INDEPENDÊNCIA","RS","2021","300","119682,00","398,94"
"431041","INHACORÁ","RS","2021","198","70619,00","356,66"
"431043","IPÊ","RS","2021","101","43215,00","427,87"
"431046","IPIRANGA DO SUL","RS","2021","13","4553,00","350,23"
"431050","IRAÍ","RS","2021","590","220263,00","373,33"
"431053","ITAARA","RS","2021","175","68989,00","394,22"
"431055","ITACURUBI","RS","2021","350","130620,00","373,20"
"431057","ITAPUCA","RS","2021","49","17208,00","351,18"
"431060","ITAQUI","RS","2021","1707","640152,00","375,02"
"431065","ITATI","RS","2021","160","56329,00","352,06"
"431070","ITATIBA DO SUL","RS","2021","118","38930,00","329,92"
"431075","IVORÁ","RS","2021","52","21575,00","414,90"
"431080","IVOTI","RS","2021","159","71143,00","447,44"
"431085","JABOTICABA","RS","2021","286","116623,00","407,77"
"431087","JACUIZINHO","RS","2021","221","90695,00","410,38"
"431090","JACUTINGA","RS","2021","66","25906,00","392,52"
"431100","JAGUARÃO","RS","2021","1341","550523,00","410,53"
"431110","JAGUARI","RS","2021","538","188975,00","351,25"
"431112","JAQUIRANA","RS","2021","359","175948,00","490,11"
"431113","JARI","RS","2021","244","86026,00","352,57"
"431115","JÓIA","RS","2021","486","248567,00","511,45"
"431120","JÚLIO DE CASTILHOS","RS","2021","856","317915,00","371,40"
"431123","LAGOA BONITA DO SUL","RS","2021","154","58826,00","381,99"
"431125","LAGOÃO","RS","2021","489","159336,00","325,84"
"431127","LAGOA DOS TRÊS CANTOS","RS","2021","21","8286,00","394,57"
"431130","LAGOA VERMELHA","RS","2021","1284","531083,00","413,62"
"431140","LAJEADO","RS","2021","1222","521086,00","426,42"
"431142","LAJEADO DO BUGRE","RS","2021","244","93108,00","381,59"
"431150","LAVRAS DO SUL","RS","2021","414","173579,00","419,27"
"431160","LIBERATO SALZANO","RS","2021","204","67945,00","333,06"
"431162","LINDOLFO COLLOR","RS","2021","127","58849,00","463,38"
"431164","LINHA NOVA","RS","2021","12","4659,00","388,25"
"431170","MACHADINHO","RS","2021","169","56015,00","331,45"
"431171","MAÇAMBARA","RS","2021","349","126110,00","361,35"
"431173","MAMPITUBA","RS","2021","175","60834,00","347,62"
"431175","MANOEL VIANA","RS","2021","368","132467,00","359,96"
"431177","MAQUINÉ","RS","2021","354","169597,00","479,09"
"431179","MARATÁ","RS","2021","29","11716,00","404,00"
"431180","MARAU","RS","2021","542","209059,00","385,72"
"431190","MARCELINO RAMOS","RS","2021","106","35970,00","339,34"
"431198","MARIANA PIMENTEL","RS","2021","182","68579,00","376,81"
"431200","MARIANO MORO","RS","2021","26","7517,00","289,12"
"431205","MARQUES DE SOUZA","RS","2021","54","23170,00","429,07"
"431210","MATA","RS","2021","289","96059,00","332,38"
